ID,Name,Status,Ranking,Category
COMP001,ABC Industries-COMP001,Unregistered,Medium,Charlie
COMP002,Apex Analytics-COMP002,Registered,High,Delta
COMP003,XYZ Tech Solutions-COMP003,Registered,Low,Delta
COMP004,Red Rocket Media-COMP004,Registered,Medium,Bravo
COMP005,Green Energy Corp-COMP005,Registered,Low,Alpha
COMP006,Innovative Innovations-COMP006,Registered,High,Charlie
COMP007,EcoGreen Solutions-COMP007,Registered,Medium,Charlie
COMP008,Blue Sky Ventures-COMP008,Registered,High,Bravo
COMP009,QuickServe Delivery-COMP009,Registered,Low,Bravo
COMP010,Solaris Systems-COMP010,Registered,High,Delta
COMP011,ABC Industries-COMP011,Registered,Low,Bravo
COMP012,Apex Analytics-COMP012,Registered,High,Charlie
COMP013,XYZ Tech Solutions-COMP013,Registered,Medium,Alpha
COMP014,Red Rocket Media-COMP014,Registered,Low,Alpha
COMP015,Green Energy Corp-COMP015,Registered,Low,Charlie
COMP016,Innovative Innovations-COMP016,Registered,Medium,Charlie
COMP017,EcoGreen Solutions-COMP017,Registered,Medium,Alpha
COMP018,Blue Sky Ventures-COMP018,Registered,Low,Charlie
COMP019,QuickServe Delivery-COMP019,Registered,High,Bravo
COMP020,Solaris Systems-COMP020,Registered,Low,Charlie
COMP021,ABC Industries-COMP021,Registered,High,Charlie
COMP022,Apex Analytics-COMP022,Registered,High,Delta
COMP023,XYZ Tech Solutions-COMP023,Unregistered,Medium,Charlie
COMP024,Red Rocket Media-COMP024,Registered,Medium,Bravo
COMP025,Green Energy Corp-COMP025,Unregistered,Low,Charlie
COMP026,Innovative Innovations-COMP026,Registered,High,Delta
COMP027,EcoGreen Solutions-COMP027,Unregistered,High,Alpha
COMP028,Blue Sky Ventures-COMP028,Unregistered,High,Charlie
COMP029,QuickServe Delivery-COMP029,Registered,High,Delta
COMP030,Solaris Systems-COMP030,Registered,Medium,Bravo
COMP031,ABC Industries-COMP031,Unregistered,Medium,Alpha
COMP032,Apex Analytics-COMP032,Registered,Low,Delta
COMP033,XYZ Tech Solutions-COMP033,Registered,High,Charlie
COMP034,Red Rocket Media-COMP034,Unregistered,High,Bravo
COMP035,Green Energy Corp-COMP035,Unregistered,Medium,Delta
COMP036,Innovative Innovations-COMP036,Unregistered,Low,Alpha
COMP037,EcoGreen Solutions-COMP037,Registered,Medium,Bravo
COMP038,Blue Sky Ventures-COMP038,Registered,High,Alpha
COMP039,QuickServe Delivery-COMP039,Unregistered,Medium,Charlie
COMP040,Solaris Systems-COMP040,Registered,Low,Delta
COMP041,ABC Industries-COMP041,Registered,Medium,Delta
COMP042,Apex Analytics-COMP042,Unregistered,Medium,Alpha
COMP043,XYZ Tech Solutions-COMP043,Registered,Low,Bravo
COMP044,Red Rocket Media-COMP044,Unregistered,Medium,Delta
COMP045,Green Energy Corp-COMP045,Registered,Low,Delta
COMP046,Innovative Innovations-COMP046,Registered,Low,Charlie
COMP047,EcoGreen Solutions-COMP047,Registered,Medium,Delta
COMP048,Blue Sky Ventures-COMP048,Registered,High,Alpha
COMP049,QuickServe Delivery-COMP049,Unregistered,Medium,Delta
COMP050,Solaris Systems-COMP050,Registered,High,Alpha
COMP051,ABC Industries-COMP051,Registered,High,Bravo
COMP052,Apex Analytics-COMP052,Registered,Low,Charlie
COMP053,XYZ Tech Solutions-COMP053,Registered,Medium,Alpha
COMP054,Red Rocket Media-COMP054,Registered,High,Delta
COMP055,Green Energy Corp-COMP055,Unregistered,Medium,Bravo
COMP056,Innovative Innovations-COMP056,Registered,Low,Bravo
COMP057,EcoGreen Solutions-COMP057,Registered,Medium,Bravo
COMP058,Blue Sky Ventures-COMP058,Registered,Low,Bravo
COMP059,QuickServe Delivery-COMP059,Registered,Low,Delta
COMP060,Solaris Systems-COMP060,Registered,High,Delta
COMP061,ABC Industries-COMP061,Registered,Low,Alpha
COMP062,Apex Analytics-COMP062,Registered,Low,Alpha
COMP063,XYZ Tech Solutions-COMP063,Registered,Low,Bravo
COMP064,Red Rocket Media-COMP064,Unregistered,Medium,Alpha
COMP065,Green Energy Corp-COMP065,Registered,High,Alpha
COMP066,Innovative Innovations-COMP066,Registered,Medium,Bravo
COMP067,EcoGreen Solutions-COMP067,Registered,High,Delta
COMP068,Blue Sky Ventures-COMP068,Unregistered,Medium,Delta
COMP069,QuickServe Delivery-COMP069,Registered,High,Alpha
COMP070,Solaris Systems-COMP070,Unregistered,Medium,Bravo
COMP071,ABC Industries-COMP071,Unregistered,Medium,Charlie
COMP072,Apex Analytics-COMP072,Registered,Low,Alpha
COMP073,XYZ Tech Solutions-COMP073,Unregistered,High,Delta
COMP074,Red Rocket Media-COMP074,Registered,High,Alpha
COMP075,Green Energy Corp-COMP075,Registered,Medium,Bravo
COMP076,Innovative Innovations-COMP076,Registered,High,Alpha
COMP077,EcoGreen Solutions-COMP077,Registered,Medium,Charlie
COMP078,Blue Sky Ventures-COMP078,Registered,Low,Bravo
COMP079,QuickServe Delivery-COMP079,Registered,Low,Bravo
COMP080,Solaris Systems-COMP080,Registered,High,Alpha
COMP081,ABC Industries-COMP081,Registered,High,Bravo
COMP082,Apex Analytics-COMP082,Unregistered,Low,Alpha
COMP083,XYZ Tech Solutions-COMP083,Unregistered,Medium,Charlie
COMP084,Red Rocket Media-COMP084,Registered,Low,Charlie
COMP085,Green Energy Corp-COMP085,Registered,High,Charlie
COMP086,Innovative Innovations-COMP086,Registered,High,Charlie
COMP087,EcoGreen Solutions-COMP087,Registered,Medium,Alpha
COMP088,Blue Sky Ventures-COMP088,Registered,Low,Charlie
COMP089,QuickServe Delivery-COMP089,Registered,Medium,Bravo
COMP090,Solaris Systems-COMP090,Registered,Medium,Bravo
COMP091,ABC Industries-COMP091,Unregistered,High,Bravo
COMP092,Apex Analytics-COMP092,Registered,Medium,Delta
COMP093,XYZ Tech Solutions-COMP093,Unregistered,High,Bravo
COMP094,Red Rocket Media-COMP094,Registered,High,Bravo
COMP095,Green Energy Corp-COMP095,Registered,Low,Bravo
COMP096,Innovative Innovations-COMP096,Registered,High,Bravo
COMP097,EcoGreen Solutions-COMP097,Registered,High,Delta
COMP098,Blue Sky Ventures-COMP098,Registered,High,Charlie
COMP099,QuickServe Delivery-COMP099,Unregistered,High,Charlie
COMP100,Solaris Systems-COMP100,Unregistered,Low,Alpha
